Index,Year,Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Pick
4102,2022,Tyler Allgeier,4,71,224.0,4.6,33.0,0.0,120.0,0.0,0.0,1
3084,2009,Jeremiah Johnson,4,69,209.0,4.57,35.0,20.0,115.0,0.0,0.0,0
2334,2007,Jeremy Clark-01,4,74,309.0,5.02,29.0,29.0,104.0,7.78,4.82,0
3454,2020,Cordel Iwuagwu,4,75,309.0,5.22,27.0,25.0,94.0,8.03,4.87,0
1648,2005,Nehemiah Broughton,4,71,250.0,4.59,30.0,25.0,108.0,7.54,4.28,1
4088,2021,Seth Williams,4,75,211.0,4.49,37.0,12.0,124.0,7.2,4.43,1
1231,2013,Geno Smith,4,74,218.0,4.58,33.5,0.0,124.0,0.0,0.0,1
768,2012,Cory Harkey,4,76,260.0,5.06,26.5,13.0,109.0,7.4,4.69,0
2545,2007,Joe Staley,4,78,306.0,4.79,0.0,27.0,0.0,0.0,0.0,1
2718,2008,Michael Grant,4,70,186.0,4.37,30.5,14.0,116.0,7.08,4.1,0
1604,2014,Travis Swanson,4,77,312.0,5.28,26.0,20.0,95.0,7.73,4.65,1
4632,2023,Moro Ojomo,4,75,292.0,5.04,33.0,29.0,112.0,0.0,0.0,1
1555,2004,Sean Taylor,4,74,230.0,4.51,0.0,0.0,0.0,0.0,0.0,1
851,2012,Jerron McMillian,4,71,203.0,4.47,36.5,17.0,120.0,6.69,4.22,1
1286,2013,Nathan Williams,4,75,241.0,4.88,35.0,24.0,113.0,6.99,4.44,0
1881,2005,Aaron Rodgers,4,74,223.0,4.71,34.5,0.0,110.0,7.38,0.0,1
4592,2023,Isaiah Land,4,76,236.0,4.62,34.5,21.0,126.0,7.2,4.56,0
1692,2015,Kaelin Clay,4,70,195.0,4.51,33.0,10.0,113.0,6.97,4.26,1
4119,2022,Terrel Bernard,4,73,224.0,0.0,35.5,22.0,123.0,7.03,4.25,1
2862,2018,Scott Quessenberry,4,76,310.0,5.09,33.5,25.0,111.0,7.5,4.69,1
47,2000,Chris Chaloupka,4,74,216.0,4.96,0.0,0.0,0.0,0.0,0.0,0
2031,2006,Marcus Green,4,73,295.0,5.14,31.0,33.0,108.0,7.62,4.86,0
144,2010,Kyle Jolly,4,78,311.0,5.36,21.5,20.0,89.0,7.89,4.87,0
872,2002,Jermaine Phillips,4,73,214.0,4.66,31.5,18.0,115.0,0.0,0.0,1
2148,2016,Roger Lewis,4,72,201.0,4.57,33.5,8.0,116.0,0.0,0.0,0
1137,2013,Scott Kovanda,4,74,207.0,4.84,0.0,0.0,0.0,0.0,0.0,0
2862,2008,Matt Ryan,4,77,228.0,4.89,0.0,0.0,0.0,7.4,4.51,1
1337,2004,Chris Cooley,4,75,265.0,4.87,33.0,22.0,115.0,7.21,4.19,1
975,2003,Justin Bates,4,76,300.0,5.38,0.0,18.0,0.0,0.0,0.0,0
3833,2021,Jermar Jefferson,4,70,206.0,4.57,31.0,13.0,115.0,7.38,4.38,1
328,2011,Danny Aiken,4,76,244.0,5.0,0.0,11.0,0.0,0.0,0.0,0
1566,2004,Daryl Towns,4,72,224.0,4.57,37.0,0.0,112.0,7.15,4.25,0
1035,2003,Anthony Floyd,4,69,202.0,4.6,33.5,19.0,117.0,7.09,4.2,0
2725,2018,Robert Foster,4,74,196.0,4.41,31.0,0.0,116.0,6.9,4.2,0
610,2011,Adrian Taylor,4,75,311.0,5.22,0.0,34.0,0.0,0.0,0.0,0
29,2000,Travis Brown-01,4,75,218.0,5.01,29.0,0.0,101.0,7.54,4.87,0
3548,2020,Danny Pinter,4,76,306.0,4.91,29.5,24.0,110.0,7.76,4.62,1
1867,2015,Nick O'Leary,4,75,252.0,4.93,30.5,21.0,110.0,7.4,4.5,1
2542,2017,Jalen Robinette,4,75,220.0,4.62,31.5,13.0,120.0,6.77,4.46,0
1415,2004,Landon Johnson,4,74,227.0,4.65,37.5,20.0,120.0,7.0,4.08,1
3167,2019,Kaleb McGary,4,79,317.0,5.05,33.5,23.0,111.0,7.66,4.58,1
475,2011,Jeron Johnson,4,70,212.0,4.51,0.0,23.0,0.0,0.0,0.0,0
2035,2006,Derek Hagan,4,74,208.0,4.45,36.0,0.0,124.0,0.0,4.07,1
3194,2009,Jamarca Sanford,4,70,214.0,4.43,33.5,29.0,116.0,7.02,4.2,1
1385,2014,Joe Don Duncan,4,75,268.0,4.79,0.0,35.0,0.0,0.0,0.0,0
